Blueprint: Labyrinth_Blueprint
Node 0: Start | Type: Start | ReqDir: Up | Forced: False | Children: [1, 2]
Node 1: Path A | Type: Normal | ReqDir: Up | Forced: False | Children: [3]
Node 2: Path B | Type: Normal | ReqDir: Up | Forced: False | Children: [4]
Node 3: Checkpoint | Type: Statue | ReqDir: Up | Forced: False | Children: [5]
Node 4: Dead End | Type: DeadEnd | ReqDir: Up | Forced: False | Children: []
Node 5: Goal | Type: Goal | ReqDir: Up | Forced: False | Children: []
Blueprint: Linear_Blueprint
Node 0: Start | Type: Start | ReqDir: Up | Forced: False | Children: [1]
Node 1: Room 1 | Type: Normal | ReqDir: Up | Forced: False | Children: [2]
Node 2: Room 2 | Type: Normal | ReqDir: Up | Forced: False | Children: [3]
Node 3: Goal | Type: Goal | ReqDir: Up | Forced: False | Children: []
Blueprint: The Abyss Blueprint
Node 0: 0 | Type: Start | ReqDir: Right | Forced: False | Children: [1]
Node 1: 1 | Type: Normal | ReqDir: Right | Forced: True | Children: [2, 3, 4]
Node 2: 2 | Type: DeadEnd | ReqDir: Up | Forced: True | Children: []
Node 3: 3 | Type: DeadEnd | ReqDir: Down | Forced: False | Children: []
Node 4: 4 | Type: Normal | ReqDir: Right | Forced: True | Children: [5, 6]
Node 5: 5 | Type: DeadEnd | ReqDir: Right | Forced: False | Children: []
Node 6: 6 | Type: Normal | ReqDir: Down | Forced: True | Children: [7]
Node 7: 7 | Type: Normal | ReqDir: Down | Forced: True | Children: [8, 9]
Node 8: 8 | Type: Reward | ReqDir: Right | Forced: False | Children: []
Node 9: 9 | Type: Normal | ReqDir: Down | Forced: True | Children: [10, 11]
Node 10: 10 | Type: DeadEnd | ReqDir: Left | Forced: False | Children: []
Node 11: 11 | Type: Normal | ReqDir: Right | Forced: True | Children: [12, 13]
Node 12: 12 | Type: Reward | ReqDir: Right | Forced: True | Children: []
Node 13: 13 | Type: Normal | ReqDir: Down | Forced: True | Children: [14]
Node 14: 14 | Type: Normal | ReqDir: Right | Forced: True | Children: [15]
Node 15: 15 | Type: Normal | ReqDir: Right | Forced: True | Children: [16, 17, 18]
Node 16: 16 | Type: DeadEnd | ReqDir: Up | Forced: True | Children: []
Node 17: 17 | Type: DeadEnd | ReqDir: Down | Forced: False | Children: []
Node 18: 18 | Type: Normal | ReqDir: Right | Forced: True | Children: [19, 20]
Node 19: 19 | Type: Reward | ReqDir: Right | Forced: False | Children: []
Node 20: 20 | Type: Normal | ReqDir: Up | Forced: True | Children: [21]
Node 21: 21 | Type: Normal | ReqDir: Up | Forced: True | Children: [22, 23]
Node 22: 22 | Type: DeadEnd | ReqDir: Left | Forced: False | Children: []
Node 23: 23 | Type: Normal | ReqDir: Right | Forced: False | Children: [24]
Node 24: 24 | Type: Goal | ReqDir: Up | Forced: False | Children: []
