Down Reward Room | Exits: Down
Left Reward Room | Exits: Left
Right Reward Room | Exits: Right
Up Reward Room | Exits: Up
Room 1 | Exits: Left, Right, Down
Room 2 | Exits: Up, Right, Down, Down
Room 3 | Exits: Up, Down
Room 4 | Exits: Left, Right
Room 5 | Exits: Left, Right
Room 6 | Exits: Left, Right
Room 7 | Exits: Up, Left
Room 8 | Exits: Left, Right, Down
Room 9 | Exits: Up, Down, Left, Right
Room 10 | Exits: Up, Down
Room 11 | Exits: Up, Down, Left, Right
Room 12 | Exits: Up, Down, Left, Right
Room 13 | Exits: Left, Right
Room 14 | Exits: Up, Down
